name,category,kind,cand_isin,isin_confident,ft_hist_url,ft_search_url,fundinfo_url,wallstreet_url,note,investing_status,investing_search,investing_search_url,investing_url,investing_note
ABERDEEN STD - NORTH AMERICAN SMALLER COMPANIES FUND I ACC USD USD,AMERICAN,基金,,,,https://markets.ft.com/data/search?query=ABERDEEN%20STD%20-%20NORTH%20AMERICAN%20SMALLER%20COMPANIES%20FUND%20I%20ACC%20USD%20USD,https://www.fundinfo.com/en/search?query=ABERDEEN%20STD%20-%20NORTH%20AMERICAN%20SMALLER%20COMPANIES%20FUND%20I%20ACC%20USD%20USD,https://www.wallstreet-online.de/suche?suchbegriff=ABERDEEN%20STD%20-%20NORTH%20AMERICAN%20SMALLER%20COMPANIES%20FUND%20I%20ACC%20USD%20USD,人工搜索确认份额/币种后下载,有,abrdn American Growth - Smaller Companies,https://www.investing.com/search/?q=abrdn%20American%20Growth%20-%20Smaller%20Companies,https://au.investing.com/funds/aberdeen-american-growthsmaller-company-profile,页面标题即 Aberdeen Standard SICAV I - North American Smaller Companies；下载时核对 I ACC USD 份额
ALLIANCE BERNSTEIN AMERICAN INCOME PORTFOLIO INC USD,AMERICAN,基金,,,,https://markets.ft.com/data/search?query=ALLIANCE%20BERNSTEIN%20AMERICAN%20INCOME%20PORTFOLIO%20INC%20USD,https://www.fundinfo.com/en/search?query=ALLIANCE%20BERNSTEIN%20AMERICAN%20INCOME%20PORTFOLIO%20INC%20USD,https://www.wallstreet-online.de/suche?suchbegriff=ALLIANCE%20BERNSTEIN%20AMERICAN%20INCOME%20PORTFOLIO%20INC%20USD,人工搜索确认份额/币种后下载,有,American Income Portfolio,https://www.investing.com/search/?q=American%20Income%20Portfolio,https://www.investing.com/funds/american-income-portfolio-a2-ace-company-profile,A2 Acc=0P000019TN；INC 份额选 A Income（持仓页可见 A Ine），核对份额/币种
ALLIANCEBERNSTEIN AMERICAN INCOME USD,AMERICAN,基金,IT0005630238:EUR,待核,https://markets.ft.com/data/funds/tearsheet/historical?s=IT0005630238:EUR,https://markets.ft.com/data/search?query=ALLIANCEBERNSTEIN%20AMERICAN%20INCOME%20USD,https://www.fundinfo.com/en/search?query=ALLIANCEBERNSTEIN%20AMERICAN%20INCOME%20USD,https://www.wallstreet-online.de/suche?suchbegriff=ALLIANCEBERNSTEIN%20AMERICAN%20INCOME%20USD,人工搜索确认份额/币种后下载,有,American Income Portfolio S USD Acc,https://www.investing.com/search/?q=American%20Income%20Portfolio%20S%20USD%20Acc,https://au.investing.com/funds/american-income-portfolio-s-usd-acc-scoreboard,S USD Acc=0P00011R8T，ISIN LU0231611335；与上一条同家族不同份额
AMUNDI BD GLOBAL AGG AUC 3D USD,GLOBAL,基金,LU1437021972:USD,待核,https://markets.ft.com/data/funds/tearsheet/historical?s=LU1437021972:USD,https://markets.ft.com/data/search?query=AMUNDI%20BD%20GLOBAL%20AGG%20AUC%203D%20USD,https://www.fundinfo.com/en/search?query=AMUNDI%20BD%20GLOBAL%20AGG%20AUC%203D%20USD,https://www.wallstreet-online.de/suche?suchbegriff=AMUNDI%20BD%20GLOBAL%20AGG%20AUC%203D%20USD,人工搜索确认份额/币种后下载,有,Amundi Funds Global Aggregate Bond,https://www.investing.com/search/?q=Amundi%20Funds%20Global%20Aggregate%20Bond,https://se.investing.com/funds/amundi-global-aggreg-bond-a-usd-c-company-profile,A USD (C)=0P0000A48C；清单里 'AUC 3D' 疑似其缩写，下载时核对份额
ARBROOK G10 AMERICAN EQUITIES A1 USD ACC USD,AMERICAN,基金,,,,https://markets.ft.com/data/search?query=ARBROOK%20G10%20AMERICAN%20EQUITIES%20A1%20USD%20ACC%20USD,https://www.fundinfo.com/en/search?query=ARBROOK%20G10%20AMERICAN%20EQUITIES%20A1%20USD%20ACC%20USD,https://www.wallstreet-online.de/suche?suchbegriff=ARBROOK%20G10%20AMERICAN%20EQUITIES%20A1%20USD%20ACC%20USD,人工搜索确认份额/币种后下载,无,,,,多轮搜索未找到（Arbrook 为小众管理人）
ARTISAN PTNRS GBL GLOBAL OPPORTUNITIES I USD,GLOBAL,基金,,,,https://markets.ft.com/data/search?query=ARTISAN%20PTNRS%20GBL%20GLOBAL%20OPPORTUNITIES%20I%20USD,https://www.fundinfo.com/en/search?query=ARTISAN%20PTNRS%20GBL%20GLOBAL%20OPPORTUNITIES%20I%20USD,https://www.wallstreet-online.de/suche?suchbegriff=ARTISAN%20PTNRS%20GBL%20GLOBAL%20OPPORTUNITIES%20I%20USD,人工搜索确认份额/币种后下载,有,Artisan Global Opportunities,https://www.investing.com/search/?q=Artisan%20Global%20Opportunities,https://ca.investing.com/funds/artisan-global-opportunities-inv-company-profile,US 份额 ARTRX/APHRX、I EUR=0P0000X7XK 已确认；选 I USD 下载
BBVA 11.00% P.A. GLOBAL RECOVERY SAFE HAVEN MEMORY AUTOCALL USD,GLOBAL,债券/票据,,,,https://markets.ft.com/data/search?query=BBVA%2011.00%25%20P.A.%20GLOBAL%20RECOVERY%20SAFE%20HAVEN%20MEMORY%20AUTOCALL%20USD,https://www.fundinfo.com/en/search?query=BBVA%2011.00%25%20P.A.%20GLOBAL%20RECOVERY%20SAFE%20HAVEN%20MEMORY%20AUTOCALL%20USD,https://www.wallstreet-online.de/suche?suchbegriff=BBVA%2011.00%25%20P.A.%20GLOBAL%20RECOVERY%20SAFE%20HAVEN%20MEMORY%20AUTOCALL%20USD,免费源无解,不适用-非基金,,,,债券/结构性，investing 无此产品
BBVA BOLT GLOBAL RECOVERY NOTE USD,GLOBAL,结构性,,,,https://markets.ft.com/data/search?query=BBVA%20BOLT%20GLOBAL%20RECOVERY%20NOTE%20USD,https://www.fundinfo.com/en/search?query=BBVA%20BOLT%20GLOBAL%20RECOVERY%20NOTE%20USD,https://www.wallstreet-online.de/suche?suchbegriff=BBVA%20BOLT%20GLOBAL%20RECOVERY%20NOTE%20USD,免费源无解,不适用-非基金,,,,债券/结构性，investing 无此产品
BBVA BOLT MARKETS 7.00% P.A. GLOBAL RECOVERY INCOME MEMORY AUTOCALL USD,GLOBAL,债券/票据,,,,https://markets.ft.com/data/search?query=BBVA%20BOLT%20MARKETS%207.00%25%20P.A.%20GLOBAL%20RECOVERY%20INCOME%20MEMORY%20AUTOCALL%20USD,https://www.fundinfo.com/en/search?query=BBVA%20BOLT%20MARKETS%207.00%25%20P.A.%20GLOBAL%20RECOVERY%20INCOME%20MEMORY%20AUTOCALL%20USD,https://www.wallstreet-online.de/suche?suchbegriff=BBVA%20BOLT%20MARKETS%207.00%25%20P.A.%20GLOBAL%20RECOVERY%20INCOME%20MEMORY%20AUTOCALL%20USD,免费源无解,不适用-非基金,,,,债券/结构性，investing 无此产品
BBVA IDAD GLOBAL BANKS DEFENSIVE AUTOCALL JULY 2022 USD,GLOBAL,结构性,,,,https://markets.ft.com/data/search?query=BBVA%20IDAD%20GLOBAL%20BANKS%20DEFENSIVE%20AUTOCALL%20JULY%202022%20USD,https://www.fundinfo.com/en/search?query=BBVA%20IDAD%20GLOBAL%20BANKS%20DEFENSIVE%20AUTOCALL%20JULY%202022%20USD,https://www.wallstreet-online.de/suche?suchbegriff=BBVA%20IDAD%20GLOBAL%20BANKS%20DEFENSIVE%20AUTOCALL%20JULY%202022%20USD,免费源无解,不适用-非基金,,,,债券/结构性，investing 无此产品
