name,isin_cur,reason
AB INTERNATIONAL HEALTH CARE PORTFOLIO C ACC USD,LU0058720904:USD,Yahoo仅有EUR/其他币种份额，需EODHD或人工
AB SICAV I GLOBAL REAL ESTATE SECURITIES PORTFOLIO A USD,LU0074935502:USD,Yahoo仅有EUR/其他币种份额，需EODHD或人工
AB SICAV I INTERNATIONAL HEALTH CARE PORTFOLIO A USD USD,LU0058720904:USD,Yahoo仅有EUR/其他币种份额，需EODHD或人工
ABRDN SICAV I FUTURE GLOBAL EQUITY A ACC USD,LU0107464264:USD,Yahoo仅有EUR/其他币种份额，需EODHD或人工
ALLIANZ GLOBAL ASIA PACIFIC INCOME A INC USD,LU0348744763:USD,Yahoo仅有EUR/其他币种份额，需EODHD或人工
ALLIANZ GLOBAL INV CHINA EQUITY A USD DIS USD,LU0348832204:USD,Yahoo无USD符号，建议EODHD按ISIN拉
ALLIANZ GLOBAL INV GLOBAL EQUITY UNCONSTRAINED AT USD,LU0342679015:USD,Yahoo仅有EUR/其他币种份额，需EODHD或人工
ALLIANZ GLOBAL INV GLOBAL HI TECH GTH A ACC NAV USD,LU0348723411:USD,Yahoo仅有EUR/其他币种份额，需EODHD或人工
ALLIANZ GLOBAL INV GLOBAL SUSTAINABILITY A DIS USD,LU0158827948:USD,Yahoo仅有EUR/其他币种份额，需EODHD或人工
ALLIANZ GLOBAL INV HONG KONG EQUITY A USD USD,LU0348735423:USD,Yahoo仅有EUR/其他币种份额，需EODHD或人工
ALLIANZ GLOBAL INV INCOME AND GROWTH AM USD IN USD,LU0820561818:USD,Yahoo仅有EUR/其他币种份额，需EODHD或人工
ALLIANZ GLOBAL INV LITTLE DRAGONS A USD DIS USD,LU0348766576:USD,Yahoo仅有EUR/其他币种份额，需EODHD或人工
ALLIANZ GLOBAL INV ORIENTAL INCOME A USD USD,LU0348783233:USD,Yahoo仅有EUR/其他币种份额，需EODHD或人工
ALLIANZ GLOBAL INV US EQUITY A USD INC NAV USD,LU0256863811:USD,Yahoo仅有EUR/其他币种份额，需EODHD或人工
AXA WORLD FUND GLOBAL REAL ESTATE A USD ACC USD,LU1731858806:USD,Yahoo无USD符号，建议EODHD按ISIN拉
BARING GLOBAL RESOURCES A USD DIS USD,IE0000931182:USD,Yahoo仅有EUR/其他币种份额，需EODHD或人工
BARING LATIN AMERICA A USD DIS USD,IE0000828933:USD,Yahoo仅有EUR/其他币种份额，需EODHD或人工
BARINGS GLOBAL LEADERS FUND CLASS A USD INC USD,IE0030016244:USD,Yahoo仅有EUR/其他币种份额，需EODHD或人工
BLACKROCK SYSTEMATIC GLOBAL SMALLCAP FUND A2 ACC USD,LU0054578231:USD,Yahoo仅有EUR/其他币种份额，需EODHD或人工
BLUEBAY GLOBAL SOVEREIGN OPPORTUNITIES C ACC USD,LU1480175907:USD,Yahoo无USD符号，建议EODHD按ISIN拉
CT AMERICAN SELECT 1U USD ACC USD,LU1868841674:USD,Yahoo仅有EUR/其他币种份额，需EODHD或人工
CT GLOBAL FOCUS AU USD USD,LU0061474960:USD,Yahoo仅有EUR/其他币种份额，需EODHD或人工
FIDELITY FUNDS FID AMERICA A DIS USD USD,LU0048573561:USD,Yahoo无USD符号，建议EODHD按ISIN拉
FIDELITY FUNDS GLOBAL FOCUS A USD DIS USD,LU0157215616:USD,Yahoo仅有EUR/其他币种份额，需EODHD或人工
FIDELITY FUNDS LATIN AMERICA A USD DIS NAV USD,LU0050427557:USD,Yahoo仅有EUR/其他币种份额，需EODHD或人工
FIDELITY GLOBAL TECHNOLOGY A USD ACC USD,LU1046421795:USD,Yahoo无USD符号，建议EODHD按ISIN拉
JANUS HENDERSON GLOBAL REAL ESTATE A3Q USD USD,IE0033534441:USD,Yahoo仅有EUR/其他币种份额，需EODHD或人工
JANUS HENDERSON HORIZON GLOBAL PROPERTY EQUITIES FUND A3Q USD USD,LU0209137206:USD,Yahoo仅有EUR/其他币种份额，需EODHD或人工
JANUS HENDERSON HORIZON GLOBAL TECHNOLOGY LEADERS FUND A1 USD USD,LU0209158467:USD,Yahoo仅有EUR/其他币种份额，需EODHD或人工
JANUS HENDERSON HORIZON GLOBAL TECHNOLOGY LEADERS FUND A2 USD USD,LU0070992663:USD,Yahoo无USD符号，建议EODHD按ISIN拉
MFS MERIDIAN FUNDS GLOBAL TOTAL RETURN A1 USD CAP USD,LU0219441499:USD,Yahoo仅有EUR/其他币种份额，需EODHD或人工
NINETY ONE GLOBAL MULTI-ASSET INC A INC-2 USD,LU1800671676:USD,Yahoo无USD符号，建议EODHD按ISIN拉
ROBECO GLOBAL CONSUMER TRENDS EQUITIES CID USD USD,LU0554840073:USD,Yahoo无USD符号，建议EODHD按ISIN拉
SANDS CAPITAL FUND GLOBAL GROWTH A USD ACC USD,LU0990495888:USD,Yahoo无USD符号，建议EODHD按ISIN拉
