ticker,condition,condition_text,scan_token,horizon,direction,rho_avg,rho_hit,n_valid,avg_drops,hit_drops,total_drops,max_drops,avg_drop_pos,hit_drop_pos,flag
BIPIX,combo_SLV_big_up__self_down,SLV>=1% 且 该基金当日回报<0，买基金后2日平均回报,SLV_big_up,2,up,0.9589642108002152,-0.49414277607499224,7,1,3,4,3,4,4|5|6,命中率
BIPIX,combo_SLV_big_up__self_down,SLV>=1% 且 该基金当日回报<0，买基金后2日平均回报,self_down,2,down,0.947773667770576,0.5024848397485367,5,0,3,3,3,,1|2|4,命中率
BIPSX,combo_QQQ_down__self_big_down,QQQ<0 且 该基金当日回报<=-2%，买基金第二天,self_big_down,1,down,0.4209071644001005,0.4056347893462125,8,3,3,6,3,1|4|5,1|4|5,平均回报、命中率
BIPSX,combo_XLC_down__ext_sect_rotation_down,XLC<0 且 板块轮动<0，买基金后2日平均回报,XLC_down,2,down,-0.9158547461567237,-0.7281472773733655,4,3,2,5,3,1|2|3,2|3,平均回报
BITIX,combo_XLC_up__self_down,XLC>0 且 该基金当日回报<0，买基金第二天,self_down,1,down,0.9667537958614665,-0.3677941064708871,5,0,3,3,3,,1|2|4,命中率
BKPIX,GDX_up_IWM_down_XLK_down,GDX>0 且 IWM<0 且 XLK<0，买基金第二天,GDX_up,1,up,-0.8507935866162318,-0.7376075769741138,5,2,3,5,3,1|4,1|3|4,命中率
BKPIX,combo_GLD_down__ext_vix_5dchg_ge10,GLD<0 且 VIX5d>=10.0%，买基金第二天,ext_vix_5dchg_ge10,1,up,0.5118044548835208,0.6485995119037924,9,4,2,6,4,3|5|6|8,6|7,平均回报
BKPSX,GDX_up_QQQ_down_SLV_up,GDX>0 且 QQQ<0 且 SLV>0，买基金后2日平均回报,GDX_up,2,up,-0.6628782105344578,-0.46787488259661153,5,3,3,6,3,1|2|3,1|2|3,平均回报、命中率
BKPSX,combo_GLD_down__ext_vix_5dchg_ge10,GLD<0 且 VIX5d>=10.0%，买基金第二天,ext_vix_5dchg_ge10,1,up,0.5421062445080271,0.6485995119037924,9,4,2,6,4,3|5|6|8,6|7,平均回报
BLPIX,combo_XLV_big_down__self_down,XLV<=-1% 且 该基金当日回报<0，买基金第二天,self_down,1,down,0.8268664709947937,-0.9603053029923785,4,1,3,4,3,3,1|2|3,命中率
BLPSX,combo_XLV_big_down__self_down,XLV<=-1% 且 该基金当日回报<0，买基金第二天,self_down,1,down,0.875252603375965,-0.9181005535742167,4,1,3,4,3,3,1|2|3,命中率
BMPIX,GDX_up_JNK_down_XLF_down,GDX>0 且 JNK<0 且 XLF<0，买基金第二天,GDX_up,1,up,-0.7955900614971436,-0.7231027168542815,5,2,3,5,3,1|4,1|3|4,命中率
BMPSX,GDX_up_GLD_up_JNK_down,GDX>0 且 GLD>0 且 JNK<0，买基金第二天,GDX_up,1,up,-0.8326310926153893,-0.6304196546943546,5,3,3,6,3,1|3|4,1|3|4,平均回报、命中率
BMPSX,GDX_up_JNK_down_XLF_down,GDX>0 且 JNK<0 且 XLF<0，买基金第二天,GDX_up,1,up,-0.7962132582348698,-0.7231027168542815,5,2,3,5,3,1|4,1|3|4,命中率
