ticker,condition_text,scan_token,horizon,threshold,full_avg,full_hit,full_trades
BIPIX,SLV>=1% 且 该基金当日回报<0，买基金后2日平均回报,SLV_big_up,2,0.5,0.1879514326463574,0.5655853314527504,709
BIPIX,SLV>=1% 且 该基金当日回报<0，买基金后2日平均回报,SLV_big_up,2,1.0,0.234990288440671,0.5920177383592018,451
BIPIX,SLV>=1% 且 该基金当日回报<0，买基金后2日平均回报,SLV_big_up,2,1.5,0.3084372460377927,0.5964285714285714,280
BIPIX,SLV>=1% 且 该基金当日回报<0，买基金后2日平均回报,SLV_big_up,2,2.0,0.2659231418123747,0.581081081081081,148
BIPIX,SLV>=1% 且 该基金当日回报<0，买基金后2日平均回报,SLV_big_up,2,2.5,0.3539234309020911,0.5324675324675324,77
BIPIX,SLV>=1% 且 该基金当日回报<0，买基金后2日平均回报,SLV_big_up,2,3.0,0.3887693736455621,0.52,25
BIPSX,QQQ<0 且 该基金当日回报<=-2%，买基金第二天,QQQ_down,1,0.5,0.4627067999391691,0.5869565217391305,506
BIPSX,QQQ<0 且 该基金当日回报<=-2%，买基金第二天,QQQ_down,1,1.0,0.528354094985,0.5889724310776943,399
BIPSX,QQQ<0 且 该基金当日回报<=-2%，买基金第二天,QQQ_down,1,1.5,0.5320310117786196,0.5952380952380952,294
BIPSX,QQQ<0 且 该基金当日回报<=-2%，买基金第二天,QQQ_down,1,2.0,0.3349344616921627,0.5614035087719298,171
BIPSX,XLC<0 且 板块轮动<0，买基金后2日平均回报,XLC_down,2,0.5,0.2391018805216047,0.5895522388059702,268
BIPSX,XLC<0 且 板块轮动<0，买基金后2日平均回报,XLC_down,2,1.0,0.2084062966839641,0.5735294117647058,136
BIPSX,XLC<0 且 板块轮动<0，买基金后2日平均回报,XLC_down,2,1.5,0.0070431382248879,0.54,50
BIPSX,XLC<0 且 板块轮动<0，买基金后2日平均回报,XLC_down,2,2.0,,,0
BITIX,XLC>0 且 该基金当日回报<0，买基金第二天,XLC_up,1,0.5,0.8053177038229067,0.5772357723577236,123
BITIX,XLC>0 且 该基金当日回报<0，买基金第二天,XLC_up,1,1.0,0.3864225279410645,0.5161290322580645,31
BITIX,XLC>0 且 该基金当日回报<0，买基金第二天,XLC_up,1,1.5,,,0
BITIX,XLC>0 且 该基金当日回报<0，买基金第二天,XLC_up,1,2.0,,,0
