ticker,EEM,FXY,GDX,GLD,HYG,IWM,JNK,LQD,QQQ,SLV,SPY,TIP,TLT,UUP,XLC,XLE,XLF,XLK,XLU,XLV,TNX_High,StkBonCorr,VIX_TNX_Ratio,USDGoldRatio,VIX_High,TNX_Open,SectRotation,YldCurveProxy,TNX_Yield,VIX_Open,VIX_5dChg,VIX_Chg%,JNKSpread,VIX_20dVol,TNX_ChgBp,TNX_Low,VIX_Low,CreditSpread,VIX_Close
AFBIX,-0.5306994423452284,0.01684246948210622,-0.2659661525382691,-0.15815306049691794,-0.6681724624507828,-0.6276047205856001,-0.632025870744645,-0.4201890751263618,-0.5844782272921614,-0.24182512765438144,-0.6502409632901672,-0.23012721758408197,-0.006121278335103421,0.2852281756654888,-0.6457424877330618,-0.47838897090184124,-0.5485385862070201,-0.5773639516146652,-0.48582062616447597,-0.5281443120144463,0.015935283431585647,0.02460322129701834,0.06768267194955453,0.2291501062622578,0.07599751668648017,0.01155764140977271,0.12961656451921227,0.12015513756834205,0.017817268759988514,0.018578276396844753,0.25672272245022204,0.4781325366083217,-0.36026604805423096,0.022846559854331542,0.07390406396783555,0.014077951065754858,0.05630738056561338,-0.37133042598137694,0.1007930679053819
AFBSX,-0.5310236941088358,0.01731362426891539,-0.26503643000762045,-0.15788274274249595,-0.6682091837892966,-0.627941278797673,-0.6321593222605095,-0.4219765609577265,-0.5848188844175528,-0.24131414269164533,-0.6504037582785711,-0.23126433349817788,-0.007541022491946645,0.2840743363759997,-0.6457154453478755,-0.4786184274558153,-0.5486228183924092,-0.577500464147606,-0.4862888014717078,-0.5283239345679438,0.016050681301462245,0.0243953767653056,0.0675575102291257,0.22828210775295318,0.07572791633214053,0.011669026844138347,0.12951277815154977,0.11899661073098816,0.017965660373344364,0.018241247818026718,0.2553948768061088,0.4773427726192324,-0.3592375570767622,0.02236939875503112,0.07497513483195256,0.014197435821665043,0.055942130317086274,-0.3702299864545029,0.10052064006473138
BIPIX,0.5204240565739058,-0.1794810460794229,0.20801372740101856,0.04498719711071194,0.4547884184391427,0.6626752670642241,0.4041198217611199,0.1428508720120818,0.6712852946719877,0.15747979883143495,0.6664181479334356,-0.05254824682924082,-0.15532064968776924,-0.12368195077530691,0.5392403100423849,0.40557713369918247,0.4949014458380966,0.605605799495208,0.4113233250795086,0.7508806148031715,-0.008352721729122508,-0.002714385843731466,-0.039587969293361454,-0.08219557337653104,-0.05520306880810508,-0.009068105316710798,-0.021649381271754795,-0.17796466389091276,-0.006205017339794683,0.0055083832050208175,-0.27873076797711815,-0.5605679568197547,0.3522395478347664,-0.008332248034230714,0.12236734215902216,-0.007272973049872025,-0.03390545005086652,0.3769690266008886,-0.09316896481725964
BIPSX,0.5010934876367213,-0.17131065391279512,0.19831206413901595,0.040207125944030406,0.43350629684588576,0.6094908406136123,0.3852602577706745,0.13001845377472865,0.593612322514491,0.14807772761008522,0.6046566346221334,-0.057079416987172706,-0.152529625806502,-0.11987804675003073,0.48692339340138585,0.3743853902451432,0.45672980946561176,0.5373691788335085,0.3598801821088986,0.6755951825147066,-0.0024585847233701895,0.005529726434803752,-0.040187898155468985,-0.0769313755102572,-0.05372231439563152,-0.0031203223185024406,-0.02225075218348929,-0.1754495568783628,-0.0002539078465070248,0.0034815805278542544,-0.2754568709824457,-0.5335440016581245,0.33903343582857925,0.005136268426995467,0.12216871756904513,-0.0013760049453179614,-0.03398774953022962,0.36268212028294544,-0.09079601138302085
BITIX,-0.29887852153732847,-0.06208252875585252,-0.19215288001256856,-0.14050037287379225,-0.2896779622226709,-0.37234751004069877,-0.2894482210538187,-0.13093684661192262,-0.35600999339131006,-0.19015070359746553,-0.34630594568430145,-0.09009603959506497,-0.015137497610686704,0.15434258247534757,-0.29652895312622635,-0.13388939329099503,-0.2618121916158237,-0.3280263838839395,-0.1095322927745746,-0.14005331367373353,0.008090919918849582,0.005560622763477642,0.04189464262215254,0.16303010295466733,0.05060047285896057,0.008804816545590661,-0.17365627345958123,0.02628742616453679,0.014339743997571179,-0.014246766618105963,0.1249007962230857,0.30331622376173534,-0.1346590844666374,7.952007218423055e-05,0.031516723940113386,0.014519471481165731,0.014175507345041848,-0.13431483748818696,0.06369183703192481
BKPIX,0.5902186424500614,-0.2874886114404402,0.11108439909941677,-0.055314742900165054,0.5123627583885562,0.7208090832284934,0.47217096022397165,0.06955385705546444,0.5283571669504386,0.06608480008436961,0.701923035730933,-0.15395656093925159,-0.3093031615112738,-0.12699926593532998,0.5221945258997823,0.529709827482897,0.9051320095938739,0.524116684783035,0.3833170553736484,0.5008306092327777,-0.00439910906685618,0.006182814410642796,-0.06116988544122253,0.004508061168471687,-0.0730630977242416,-0.00736439291889622,-0.6510620491893606,-0.334922964394747,-0.00015609793231962496,-0.01619312131296871,-0.24159546878674057,-0.508650925378603,0.5162238015119502,-0.025904576970478647,0.2982092895938175,-0.003242236640694168,-0.0550785389562265,0.5343720017889534,-0.10753647020425854
BKPSX,0.5907796672999005,-0.2868766893347895,0.11151277609945118,-0.054733442276820976,0.5124215292910465,0.7229358146331869,0.47264987270090125,0.06941547373096103,0.5318120537802339,0.06661452435319616,0.7040466781504423,-0.15341935808577062,-0.30985078244302,-0.127539359621282,0.5221384673042387,0.530500487744428,0.9072450069782146,0.5276997505959404,0.3838055063078743,0.5025793730156628,-0.004465738888893283,0.006110892041705819,-0.061097839027637935,0.003971049896981102,-0.07290402910120151,-0.00742995305327934,-0.6512912215933075,-0.3352020392044215,-0.00022281640042663578,-0.016044041094235698,-0.24144419325936542,-0.5083085371552595,0.5165169243129308,-0.025879229112485604,0.29788410719822284,-0.0033105195360846025,-0.05494335249420162,0.534421518314721,-0.10736499200533672
BLPIX,0.801810273427313,-0.3002160377310466,0.295539635960665,0.06861968539563068,0.6576085787009817,0.8414371140946106,0.5918465007085182,0.15762083378109368,0.7811805220535915,0.21949867073513255,0.9160120941464454,-0.11340470627920549,-0.28230891782215217,-0.20227515096448184,0.8311777463605765,0.6081793584452612,0.7831648906235323,0.800738091397916,0.5437731521527486,0.7132651367879829,-0.008631128441061614,0.00435558101300558,-0.06325174487892816,-0.1240592676444753,-0.09122536972219554,-0.010555160382300846,-0.17601567973923407,-0.3271594263345434,-0.004444811787393463,-0.00848491341870828,-0.35245675429756124,-0.7207177374269905,0.5646229604619355,-0.02965315998393714,0.26461962141206563,-0.006463111110409654,-0.0629853629569427,0.5958736005909219,-0.13990847124434427
BLPSX,0.8030562476522096,-0.30014199527218477,0.29587088215695384,0.06848322661532387,0.6576544707533862,0.8338766809745853,0.5919753086023226,0.15644549587255321,0.7768223606447253,0.21964175833507446,0.9109010893273953,-0.1136067068115472,-0.2819657923113303,-0.20257671233253374,0.8312362922115581,0.6074987079369628,0.7791312225296558,0.7975931669134647,0.5414709338343906,0.706689381929978,-0.008342897221003988,0.004991919602676593,-0.06333126771074968,-0.12438244076845321,-0.09133484910159274,-0.01027888483105635,-0.17611681999249942,-0.3273546251479787,-0.004153507366287619,-0.008646166282178628,-0.35278029696075197,-0.7210355146044449,0.5647528584404911,-0.029520528655818536,0.2650549952633871,-0.00617639117643004,-0.06311909631392577,0.5959535792295378,-0.140057939687549
BMPIX,0.7815670919311258,-0.2199813209340039,0.44933878691719875,0.22235448220365175,0.6035992445746066,0.7697855912069363,0.5350324408492753,0.1310397798002882,0.6511869582046189,0.341447062652642,0.783847967569906,-0.08219177053067538,-0.28519728898692387,-0.2983607909584606,0.6157674849568066,0.7055797002067138,0.6872080937381082,0.6340325778212085,0.5064124108497712,0.5969484446807789,-0.00636905159938079,-0.0007014593206589302,-0.04846629039933396,-0.2741060107157323,-0.07279615894002826,-0.008680541703106195,-0.23087496658007906,-0.3482726393550842,-0.0027696184892571874,-0.002602234472925112,-0.3005436576258794,-0.6062646645648269,0.5353486587558144,-0.02810447571639441,0.26632020669813516,-0.005190689062469298,-0.04734712038672955,0.568352354853021,-0.11213705380444013
