ticker,fund_name,fund_theme,strategy_no,触发条件,条件解释,机制
BIPIX,Biotechnology UltraSector ProFund， Investor,生物科技,1,FXY>0 且 GDX>0 且 QQQ<0，买基金第二天,日元上涨，金矿股上涨，科技成长下跌,风险偏好收缩，资金撤离高风险资产；避险/利率敏感资产走强（黄金、日元、国债等）；贵金属走强，避险与抗通胀需求上升。
BIPIX,Biotechnology UltraSector ProFund， Investor,生物科技,2,SLV>=1% 且 该基金当日回报<0，买基金后2日平均回报,白银大涨(>=1%)，自身下跌,避险/利率敏感资产走强（黄金、日元、国债等）；贵金属走强，避险与抗通胀需求上升；基金自身下跌/急跌后存在超跌反弹动量。
BIPIX,Biotechnology UltraSector ProFund， Investor,生物科技,3,XLK<0 且 信用利差>0，买基金第二天,科技下跌，信用利差上升,信用利差走阔，信用风险上升；板块轮动偏向价值/金融。
BIPSX,Biotechnology Ultra Sector Pro Fund， Service,生物科技,1,QQQ<0 且 该基金当日回报<=-2%，买基金第二天,科技成长下跌，自身大跌(<=-2%),风险偏好收缩，资金撤离高风险资产；基金自身下跌/急跌后存在超跌反弹动量。
BIPSX,Biotechnology Ultra Sector Pro Fund， Service,生物科技,2,FXY>0 且 XLE<0 且 XLU>0，买基金第二天,日元上涨，能源下跌，公用事业上涨,避险/利率敏感资产走强（黄金、日元、国债等）；防御性板块走强，资金寻求低波动；能源板块走弱，通胀与周期预期降温。
BIPSX,Biotechnology Ultra Sector Pro Fund， Service,生物科技,3,XLC<0 且 板块轮动<0，买基金后2日平均回报,通信服务下跌，科技/金融轮动下降,板块轮动偏向价值/金融。
BITIX,Short Bitcoin ProFund - Investor Class,比特币,1,XLC>0 且 该基金当日回报<0，买基金第二天,通信服务上涨，自身下跌,基金自身下跌/急跌后存在超跌反弹动量。
BITIX,Short Bitcoin ProFund - Investor Class,比特币,2,EEM>0 且 JNK>0 且 SPY>0，买基金第二天,新兴市场上涨，高收益债上涨，标普500上涨,风险偏好回暖，资金回流权益与信用资产；信用环境偏宽松，资金愿意承担信用风险。
BITIX,Short Bitcoin ProFund - Investor Class,比特币,3,EEM>0 且 GLD>0 且 SLV>0，买基金后2日平均回报,新兴市场上涨，黄金上涨，白银上涨,避险/利率敏感资产走强（黄金、日元、国债等）；贵金属走强，避险与抗通胀需求上升；风险偏好回暖，资金回流权益与信用资产。
BKPIX,Banks UltraSector ProFund， Investor Class,银行金融,1,GDX>0 且 IWM<0 且 XLK<0，买基金第二天,金矿股上涨，小盘下跌，科技下跌,风险偏好收缩，资金撤离高风险资产；避险/利率敏感资产走强（黄金、日元、国债等）；贵金属走强，避险与抗通胀需求上升；板块轮动偏向价值/金融。
