
07/13/2020,-0.008397,0.000000,0.045089,-0.402669,1.809538,-1.026698,0.620031,-0.684151,0.065777,-0.043314,-0.539879,-0.096566,0.412799,-3.186849,,0.174622,0.106685,0.044990,0.626839,0.054349,-0.008597,-2.251568,-0.601915,-0.327825,0.248890,0.009035,0.000000,-2.406958,-1.437786,-1.644110,0.315373,0.029239,-0.394064,-0.715454,0.213474,0.941375,-0.977580,0.147114,0.656455,-1.825698,-0.083908,-0.119450,0.071046,0.315556,0.016127,-0.092070,0.264426,-2.584439,0.000000,-2.010289,-0.149216,-1.267698,-0.842158,-2.185678,-0.567678,0.492207,0.395672
07/10/2020,-0.118026,0.011056,-0.112937,0.057833,0.155361,0.635831,-0.464381,-0.566893,-0.032878,-0.201373,0.147465,0.013797,0.122031,-0.525257,,-0.348028,-0.196482,-0.082270,-0.470952,-0.099379,0.069225,2.845954,0.287218,0.527734,-0.148941,0.000000,-0.034628,0.203117,-0.392382,-0.336962,-0.481228,0.039041,0.461992,0.918318,-0.383882,-1.461052,1.425538,0.098172,0.439560,2.182330,-0.083575,-0.247215,-0.113343,-0.490548,-0.016125,-0.257001,-0.207274,-1.016337,1.737165,1.727742,1.841171,1.191677,3.989974,3.628367,0.517118,-0.435611,-0.489310
07/09/2020,0.261999,0.000000,0.271648,0.057223,1.258531,-1.179030,2.180214,0.800000,0.065392,-0.301225,-0.024587,-0.630664,-0.420828,-0.392295,,-0.173712,0.320257,0.097292,1.227620,0.009104,0.086607,-6.209044,-0.028389,-0.719949,0.265392,0.009036,0.023136,0.331193,1.735754,1.326112,1.507344,-0.009790,-1.496224,-3.052923,1.020178,4.685634,-4.798924,-0.342425,-1.158581,-2.638794,0.199265,0.756838,0.127632,1.513505,0.016127,0.036570,-0.375668,-0.573791,-0.938791,0.123549,-0.787598,-0.113622,-1.533482,-5.227727,0.071378,-0.108784,2.242946
07/08/2020,-0.033828,0.000000,-0.056590,0.404764,2.582054,1.273588,-0.472189,-1.092690,-0.032483,0.591664,0.560022,0.718044,0.554868,3.480217,,0.582411,-0.155755,-0.044890,-0.803962,0.054221,-0.017318,0.600476,0.345918,0.394315,-0.248135,-0.009035,0.000000,4.470328,1.432935,1.354977,-0.296245,-0.078014,0.392242,0.704168,-0.273734,-1.246732,1.254227,0.640003,1.618837,1.354637,-0.167597,0.120079,-0.070838,-0.386730,-0.016125,0.073636,0.623623,1.503788,-1.421686,0.890488,-0.250843,1.065009,-0.381404,0.099668,0.574300,-0.594755,-0.634370
07/07/2020,0.152354,0.000000,0.158566,-0.288376,-0.853541,0.079605,1.801225,0.721063,0.098356,-0.474004,0.396884,-0.521986,-0.356087,2.578320,,0.644783,0.320880,0.104912,0.582615,0.036124,0.034649,-3.648084,-0.115444,-0.717601,0.082638,0.000000,0.023141,1.898164,-1.243755,-1.180632,1.330057,-0.009782,-1.480593,-2.680450,0.912637,4.222929,-4.197333,-0.245550,-1.091703,-0.587017,-0.073278,0.287239,0.170401,1.367332,0.032260,0.000000,-0.151086,1.877422,0.034302,-0.284184,0.910945,-1.568810,-1.319047,-3.476165,-0.339832,0.311864,2.339336
07/06/2020,-0.008418,-0.011055,-0.033996,0.173454,5.042049,0.802442,-0.496522,-1.384731,-0.032910,0.766981,0.240313,0.261530,0.631809,2.625647,,0.589623,-0.147953,-0.074868,0.047525,-0.090283,-0.043242,3.561673,0.028869,0.327183,0.165977,0.009036,-0.034766,1.822155,2.758190,2.641548,-0.406162,0.078067,0.452882,0.690755,-0.287354,-1.258345,1.295019,0.543145,1.327434,0.730435,0.304430,0.596647,-0.127764,-0.340729,-0.032250,-0.055086,-0.112913,0.026625,1.425243,2.010847,0.491668,2.370426,2.214746,0.211653,0.304987,-0.283937,-0.685368
07/02/2020,0.118504,0.011056,0.158763,0.463827,0.847463,0.402837,0.018141,0.300300,-0.032899,0.028942,-0.157186,0.082848,-0.103637,-0.667098,,0.236407,0.123415,0.089975,0.731089,0.135554,0.173469,1.460607,0.492377,-0.260916,0.299997,0.000000,0.046287,-1.522426,1.529286,1.222870,0.042948,0.156379,-0.064656,-0.125764,0.077801,0.173005,-0.423456,-0.197118,-0.294118,1.410935,0.157676,0.214940,0.127927,0.050100,0.032260,0.091968,0.626147,0.373418,1.876919,-0.324956,0.511146,0.395359,0.192980,2.566143,-0.161204,0.108284,0.267845
07/01/2020,0.053442,0.000000,0.024894,0.349084,0.340138,0.812219,-0.067811,-0.336700,0.059335,0.261315,0.716777,-0.055105,0.150918,-0.242014,,-0.412007,-0.156068,-0.094440,0.143984,0.044409,0.057349,-2.822439,0.194468,0.327397,0.050096,-0.018069,-0.033567,-0.648363,-1.145274,-1.281027,-0.121753,-0.039079,0.194344,0.314305,-0.155434,-0.491886,0.639244,0.296554,0.221076,1.033500,0.182194,0.963975,-0.090933,-0.204025,-0.009677,0.151082,0.516557,0.464526,0.213115,2.479650,0.085297,1.010214,-2.170848,-2.912915,0.940155,-0.938589,-0.313462
06/30/2020,0.084705,0.000000,0.102006,-0.116226,2.917629,0.489718,-0.759090,0.074878,0.065474,0.510485,0.823495,0.763476,-0.018787,3.291678,,0.354400,-0.180138,-0.037333,-0.549091,-0.081259,-0.034702,2.411570,0.376428,0.328473,-0.166281,0.018072,-0.011500,3.784575,2.433533,2.590620,-0.530163,0.039095,0.389454,1.016590,-0.351372,-1.238755,1.413949,0.098949,0.000000,-0.742837,0.200204,0.453672,-0.084799,-0.467344,-0.016126,-0.092023,0.000000,1.403915,1.440011,1.122775,0.738731,1.276768,1.532976,2.756921,-0.682349,0.674946,-0.865652
06/29/2020,0.084675,0.000000,0.067959,0.291086,0.947947,1.659482,-0.458092,-0.186846,0.000000,0.087728,-0.376703,-0.069359,0.075502,1.287109,,0.000000,0.098362,0.067330,-0.237982,0.045261,0.000000,1.831073,0.116022,-0.197138,0.149835,-0.009035,0.023139,0.988214,1.015685,1.091153,-0.317089,0.127126,0.326229,0.639804,-0.095112,-1.199910,0.931669,-0.197507,-0.513196,3.326023,0.285130,0.293805,0.099198,-0.297454,0.032262,0.018320,0.267565,-0.018086,1.945538,1.848689,1.890247,1.898857,3.419237,2.090838,-0.783895,0.789116,-0.479272
06/26/2020,0.118808,-0.011055,0.181873,-0.809348,-1.331071,-1.229311,1.491534,-0.186498,-0.032523,-0.407174,-0.681738,-0.221457,0.028359,0.980066,,0.474777,0.271255,0.127350,0.707418,0.008901,0.069350,-4.759145,-0.519386,-0.586478,0.116579,0.009036,0.034519,0.141197,-1.873861,-1.874725,1.046666,-0.019506,-1.096277,-2.250163,0.700807,3.322594,-3.204142,-0.049352,0.664207,-2.075877,-0.042293,0.151815,0.141840,1.051917,0.015944,0.092124,-0.076468,-3.284568,-1.375785,-4.408969,-2.040480,-2.343615,-3.213183,-4.803759,-0.089000,0.027218,1.676492
06/25/2020,0.118949,0.011056,0.102366,0.290216,1.887047,0.909696,0.442745,0.638138,-0.032919,0.262343,0.058214,-0.138219,-0.273087,0.794867,,-0.118554,0.016457,0.015050,0.072063,0.099530,0.112833,3.921040,-0.144270,0.065370,0.050171,0.000000,0.000000,1.055893,0.682393,0.715169,0.256985,-0.029437,-0.193217,-0.497548,0.120015,0.875412,-0.780987,-0.098608,-0.513950,2.532110,-0.031643,0.209277,0.000000,0.230995,0.016136,0.055261,-0.550513,2.468102,1.246219,0.439322,0.708171,0.134338,1.955704,2.070759,-0.283990,0.272926,0.495567
06/24/2020,-0.017034,0.000000,0.011268,-0.576441,-2.808192,-2.499606,1.333747,0.909091,0.065474,-0.838542,-0.833248,-0.536164,-0.450066,-2.979988,,-0.236546,0.189469,0.052489,0.144015,-0.090321,-0.095360,-8.564351,-0.572961,-0.454778,-0.083549,-0.009035,0.011642,-3.204585,-2.096040,-2.194569,1.038617,-0.146350,-1.144572,-2.010938,0.712740,2.988178,-3.188737,-0.490619,-0.873362,-5.118384,-0.200092,-0.189868,0.127836,1.003997,0.000000,-0.018564,-0.603607,-2.048331,-2.917819,-2.253700,-1.680906,-2.202463,-4.080541,-7.180457,-0.914527,0.839411,1.395049
06/23/2020,-0.016929,0.000000,-0.045465,0.347065,2.828215,-0.481465,-0.859152,-0.826446,0.032951,0.319119,0.422453,-0.150997,0.442632,2.128257,,0.774732,-0.032965,0.037359,0.036096,-0.045140,-0.034720,0.131859,0.086222,0.000000,0.133857,0.009036,0.023155,1.828644,0.328595,0.356481,-0.644949,0.068385,0.704552,1.171660,-0.343080,-1.870574,1.973466,0.295241,0.881057,-0.897170,0.094829,-0.368864,-0.028363,-0.564691,0.032093,-0.036673,1.009995,1.535279,0.231785,0.648115,-0.152504,0.786628,0.518560,-0.325304,0.744153,-0.764714,-0.838212
06/22/2020,-0.025590,0.000000,-0.034053,0.406230,2.290930,1.054172,0.213683,-1.261128,0.065539,0.951756,0.843922,0.565994,0.587154,4.911749,,0.720288,-0.090428,-0.044913,0.860775,-0.063221,0.173697,0.357903,-0.456669,0.195600,0.200758,0.000000,-0.023149,4.620173,0.915245,0.737186,0.064537,0.048799,0.000000,0.000000,-0.042182,-0.025254,-0.074832,0.544220,1.565996,2.656748,-0.283811,-0.104071,-0.042526,-0.010118,-0.032083,0.036686,1.020300,2.937598,0.370701,0.220021,-0.285723,1.027575,1.697480,-0.787138,-0.176866,0.356311,0.140892
06/19/2020,0.034064,0.000000,0.034064,0.291568,0.728171,0.817531,-0.036591,0.297619,-0.065496,-0.102427,-0.465704,0.027617,-0.132366,3.704609,,1.153613,0.032946,0.030037,0.194441,0.009001,0.034792,-2.214292,0.199989,-0.065158,0.167507,0.000000,0.023155,3.063599,-0.468699,-0.484115,0.000000,0.058767,-0.128070,-0.184807,0.090367,0.278747,-0.187577,-0.148204,-0.371471,1.219075,-0.063000,0.132504,0.028358,0.050492,0.032093,-0.073540,0.096226,2.834159,-0.301766,-0.269420,-0.517274,-0.778853,-0.569649,-2.723343,0.212691,-0.531625,0.188185
06/18/2020,0.101990,-0.011055,0.113861,-0.579112,-0.542990,0.575565,1.405163,0.749625,0.098544,-0.509223,-1.045102,-0.302868,-0.339328,-1.773922,,-0.302663,0.222642,0.045033,1.629706,-0.044987,0.008648,0.450956,-0.228269,-0.453307,0.437250,0.009037,-0.011643,-1.875245,-0.138458,-0.185843,1.065061,0.097876,-1.076154,-2.167524,0.679146,3.109489,-3.212079,-0.344617,-0.810612,2.236070,-0.157384,0.724449,0.099522,1.039675,0.000000,0.018554,-0.954186,1.069444,0.071078,0.324276,0.519964,-0.364741,-2.408372,0.488065,0.106458,0.081855,1.461900
06/17/2020,-0.084869,0.000000,0.022832,-0.173755,-0.600235,-0.490920,0.416466,0.263059,0.000000,-0.014621,-0.139763,-0.041283,-0.188282,1.173464,,0.121212,0.157042,0.029974,-0.270855,0.081151,0.182651,-4.489666,0.114265,-0.258052,-0.100669,0.000000,0.034673,0.388717,1.059255,0.779121,0.283438,-0.068478,-0.315006,-0.598142,0.273538,0.790070,-1.005977,-0.098365,-0.147167,-1.302460,-0.031573,-0.700425,0.042767,0.276052,0.016144,-0.018551,-0.228327,0.076440,-0.827555,0.126309,-0.150653,-0.263309,-2.484076,-4.685260,0.553078,-0.542741,0.287190
06/16/2020,-0.195062,0.000000,-0.125146,-0.345664,1.215057,0.824950,-2.170931,0.910125,0.098641,-0.405757,-0.213134,0.068853,-0.496141,-3.636244,,0.121359,-0.206127,-0.045026,-0.380318,-0.216079,-0.165051,1.738002,1.068448,0.323792,0.033712,0.000000,-0.011512,-2.363113,1.562809,1.951177,-1.397131,0.097904,1.407300,2.956978,-0.891780,-4.429878,4.427101,-0.294227,-1.378810,2.446256,0.220834,-0.320754,-0.085293,-1.361227,-0.016141,-0.183402,0.114294,1.542801,2.085197,0.818356,1.564847,2.102377,2.594716,2.783452,0.053552,-0.081345,-2.349085
06/15/2020,0.331664,0.000000,0.205104,0.000000,-0.121636,0.915754,0.274444,-1.087772,0.066076,0.818154,0.568952,0.179338,0.545967,2.873987,,-0.302480,-0.082441,-0.037436,0.233538,-0.063073,0.174105,0.537576,0.668690,0.129246,0.033723,-0.018071,-0.023152,1.360085,1.295145,1.347807,0.043015,0.049038,0.000000,-0.061402,0.006077,0.252335,-0.224544,0.542342,1.472754,2.080969,1.137348,1.795765,-0.028535,0.030237,-0.015949,-0.073351,0.248298,2.823487,1.053791,1.607456,1.152684,0.949302,1.219433,0.913343,0.089334,-0.081279,0.052687
06/12/2020,0.102249,0.021984,0.102657,0.638086,3.000408,0.417992,-1.181053,0.870223,-0.033027,0.219624,-0.516845,0.207357,-0.412528,-0.295654,,0.242571,-0.221856,-0.052469,-1.668261,0.090093,-0.147791,5.782006,-0.203244,0.521885,-0.235076,0.000000,0.034673,0.894950,1.410787,1.362090,-0.937461,0.019545,0.969092,1.818129,-0.575219,-2.652930,2.611879,-0.392881,-1.092498,0.265554,0.416146,0.327584,-0.071035,-0.958907,0.000000,0.073405,-1.077447,1.273159,1.945025,0.876031,0.017268,0.991086,3.294925,3.810396,-0.955583,0.943525,-0.955517
06/11/2020,-0.170057,-0.021979,-0.182109,-2.099836,-8.571971,-3.235734,2.450754,1.614764,-0.098576,-2.498222,-1.415398,-1.698625,-0.799741,-6.605711,,-0.722456,0.354625,0.029942,0.915030,-0.045026,0.148009,-14.384217,-3.146779,-0.776385,0.000000,0.018074,-0.046165,-7.428875,-6.138255,-6.352157,1.888623,-0.234729,-1.901332,-3.857337,1.194380,5.630538,-5.550537,-0.876236,-1.647564,-7.281041,-0.961844,-1.443282,0.071085,1.924320,0.000000,-0.055078,-1.028878,-5.526914,-7.725158,-4.605074,-3.791323,-5.237821,-10.996146,-9.473605,0.390833,-0.367847,2.462378
06/10/2020,0.409666,0.011056,0.422803,0.227560,1.156054,0.651362,1.983197,-0.763068,0.000000,0.776915,0.308290,0.081601,0.485957,5.230178,,1.404151,0.748017,0.368750,2.462464,0.018079,0.043443,-7.754237,-0.280140,-1.528322,0.795179,0.000000,0.057706,5.753585,0.511427,0.353131,1.408637,0.264738,-1.436414,-2.926230,1.153012,4.444422,-4.337989,0.440046,0.794224,0.035186,0.467316,1.084656,0.456786,1.414442,0.048250,0.018289,0.772970,0.124179,-1.132148,-0.301395,-0.280657,-0.937845,-0.939816,-7.296178,1.241007,-1.264461,2.207377
06/09/2020,0.128178,0.000000,0.068696,-0.453058,-1.085867,0.326745,1.566513,-0.869894,0.033005,-0.954749,-0.024260,-0.325340,0.328097,-0.842174,,0.986436,0.358559,0.203615,0.100140,0.063045,0.305748,-7.650656,-0.474177,-0.695814,0.067434,0.000000,0.034689,-0.782350,0.183923,0.077373,1.112956,0.078512,-1.173145,-2.230787,0.816190,3.390303,-3.402692,0.294227,0.727273,0.176243,0.085027,-0.210720,0.228831,1.138301,0.080608,0.000000,0.340562,-0.171704,-1.218748,-0.247660,-0.818839,-0.780542,-1.721306,-7.254305,1.146080,-1.222429,1.802626
06/08/2020,0.111163,0.010927,0.103081,0.397685,0.923380,-0.649248,0.449599,-0.188750,0.032609,0.920334,0.513600,0.654942,0.065742,1.667328,,0.996264,0.108574,0.052814,0.263373,0.027088,0.069914,12.458692,0.702122,-0.252192,0.169523,0.000000,-0.023031,1.979823,-0.301220,-0.205786,0.357149,0.068714,-0.429907,-0.738107,0.123802,1.133471,-1.143269,0.295095,0.218659,-1.731902,0.373364,0.578071,0.057326,0.272281,-0.032309,0.018293,0.456062,1.846277,0.133792,1.873487,1.075786,1.523804,3.610251,12.711740,2.307835,-2.234347,0.608710
06/05/2020,0.059933,-0.021979,-0.011483,0.686977,2.665509,1.986434,-0.865885,0.799087,0.131831,0.360760,0.590398,0.411021,-0.345994,-1.987598,,-2.013423,-0.498447,-0.240803,-0.300141,0.035986,-0.104709,12.903216,0.878229,1.019771,0.085052,0.000000,-0.034669,-2.450174,2.359486,2.450123,-0.731514,0.137617,0.680572,1.440031,-0.658051,-2.216660,2.063442,-0.245310,-1.010101,4.981818,0.106828,0.639884,-0.299675,-0.706996,-0.048250,-0.128325,0.171351,0.813097,2.554264,1.629512,1.392881,2.395188,3.886142,11.789587,-0.903726,0.851566,-1.136015
06/04/2020,-0.298666,0.000000,-0.239871,-0.285742,0.595941,0.834588,-2.021351,-1.536156,0.132005,0.130091,-0.049123,-0.068457,0.744082,1.844417,,1.048089,-0.397193,-0.150405,-1.284129,0.000000,-0.087250,5.616504,0.056679,0.770176,-0.456316,-0.009036,0.023029,0.550702,1.104714,0.911529,-1.399353,0.019735,1.507400,2.721747,-0.956287,-4.295959,4.469721,0.493038,1.389905,1.401180,0.032032,-0.338208,-0.199385,-1.353809,0.000000,-0.054778,0.019073,-1.789548,0.360988,-0.744965,-0.484192,-0.504576,1.981824,1.189446,-0.440690,0.447427,-2.009763
06/03/2020,-0.246910,0.000000,-0.227895,0.689739,1.697374,0.000000,-1.614264,-1.440177,-0.131831,0.537609,0.411496,0.247053,0.701930,-3.347998,,-1.815981,-0.592309,-0.239779,-1.050675,-0.081120,-0.165541,3.016316,0.398334,1.235797,-0.336649,-0.009035,-0.080803,-3.523351,2.757942,2.887797,-1.273342,-0.039329,1.272641,2.735584,-1.102442,-4.045810,3.910601,0.445712,1.938852,0.184706,-0.096137,-0.269887,-0.326612,-1.345743,-0.080479,0.054808,0.709326,-1.525328,2.269590,0.309717,0.133647,1.890242,2.165514,1.954649,-0.438757,0.436162,-1.761501
06/02/2020,0.085239,0.000000,0.079792,1.104474,2.357012,1.097846,-0.579807,-0.477766,0.165163,1.384604,0.380052,0.302868,0.275814,-3.966477,,-0.721154,-0.164175,-0.067492,-0.522672,-0.008988,-0.095683,4.988294,0.399927,0.195121,-0.151220,0.000000,0.000000,-4.716325,1.967015,2.159614,-0.344195,0.019606,0.318623,0.734897,-0.240358,-1.107191,1.001503,0.099716,0.600150,3.241800,0.342828,0.455003,-0.070806,-0.292582,0.000000,0.110177,0.695196,1.383160,1.809235,0.402756,0.268406,0.853430,-0.468537,3.483959,-2.024001,1.967655,-0.844040
06/01/2020,-0.056146,0.011056,-0.080830,0.349899,3.665481,0.594135,-0.835087,-0.765864,0.056040,1.967465,1.187091,1.452535,0.343538,3.949620,,0.665457,-0.039394,-0.026903,-0.145448,0.100165,-0.027811,0.774664,0.083134,0.130740,0.202179,0.010004,-0.011504,3.759864,-0.148944,-0.539933,-0.622033,0.019735,0.707558,1.114270,-0.389098,-1.730968,1.966206,0.548292,0.755858,1.313756,0.028881,-0.358834,-0.007080,-0.636518,-0.028843,0.101024,0.566921,0.531071,0.685099,1.147782,0.692204,0.950132,2.398881,2.910381,0.431732,-0.309015,-0.825417
05/29/2020,0.264143,0.000000,0.285160,0.527288,0.387491,1.726841,0.922186,-0.435730,-0.032713,0.452635,0.310234,0.055898,0.229618,2.605188,,0.669915,0.320887,0.157284,0.231067,0.252675,0.409767,-2.647691,0.572216,-0.584163,0.000000,-0.018069,0.000000,3.048620,2.003588,2.561394,0.709192,0.098396,-0.765969,-1.403725,0.534995,1.889685,-2.019592,0.149758,0.000000,3.395925,0.461651,1.118349,0.170211,0.654761,0.032079,0.036850,0.762129,0.994793,0.017946,0.539709,0.101352,0.363652,-0.572134,-1.705175,-0.358487,0.282943,0.980285
05/28/2020,-0.068143,0.000000,0.034120,-0.058262,0.064377,0.520750,-0.546599,-1.361032,0.099055,0.363456,0.480327,-0.139550,0.654709,0.066901,,0.244200,-0.090430,-0.007403,0.821542,-0.225106,-0.095855,0.180641,0.287134,0.130145,0.270010,0.009035,0.046170,1.036227,-2.137647,-2.182915,-0.342782,0.108390,0.448820,0.861774,-0.233864,-1.293241,1.181263,0.552145,1.146789,0.120000,0.172212,-0.126271,0.014186,-0.361321,0.032279,-0.036836,0.333171,-1.004087,0.928701,-0.940360,0.886643,-1.213419,-1.596412,-4.332029,0.215556,-0.201694,-0.722668
05/27/2020,0.145000,-0.011055,0.045745,0.000000,0.585013,-1.285145,-0.393265,-0.285714,0.032756,-0.512193,-0.594689,0.279881,0.163920,0.022305,,0.122249,0.082215,0.007404,-0.146928,-0.008999,0.191975,3.475523,0.606143,-0.129976,0.033871,-0.009035,-0.023147,0.115269,1.508788,1.541058,-0.149710,0.000000,0.128399,0.371214,0.017947,-0.494930,0.470636,-0.050170,0.692841,-2.572097,0.388573,0.556804,-0.014184,-0.130358,-0.032268,-0.036602,0.413535,0.028933,1.011277,0.705511,1.505571,1.713373,3.750529,0.345629,-0.464867,0.445705,-0.232533
05/26/2020,-0.161773,0.011056,-0.057045,1.065188,3.776252,1.038796,-1.624802,-1.512487,0.033177,1.684979,1.272386,1.347195,0.679783,-3.359872,,-1.326900,-0.262532,-0.037435,-1.173794,-0.035983,0.052347,5.589925,0.874200,0.456259,-0.353525,-0.009034,0.000000,-3.638026,0.862358,1.050461,-1.308868,0.019654,1.233341,2.275026,-0.744218,-3.808609,3.832364,0.860224,1.326053,0.351975,0.270687,-0.311559,-0.127496,-1.257226,-0.015942,0.054934,0.236660,-2.357392,2.739720,0.279352,0.539416,1.583635,1.785207,4.069519,0.179115,-0.175273,-1.860059
05/22/2020,0.051150,-0.011055,0.034266,-0.354025,-1.527287,-0.773074,0.658992,0.851366,0.000000,-0.533199,-0.380329,-0.311046,-0.415812,-0.514444,,0.606796,0.189061,0.030043,-0.205296,-0.035970,0.306516,-2.808076,0.497678,-0.389452,0.151679,0.009035,0.000000,-0.194005,0.210579,0.443346,0.509264,-0.039418,-0.516502,-0.938786,0.310539,1.694514,-1.615657,-0.352960,-0.620155,-3.872180,-0.162149,0.312533,0.127658,0.477474,0.032084,-0.073191,-0.236101,1.202447,-0.151005,0.599271,0.349392,-0.148148,-0.933226,0.189741,-0.089477,0.040464,0.498869
05/21/2020,0.076630,0.011056,0.102766,0.355283,-1.761163,-0.427649,0.421117,0.570817,0.032778,-0.394627,-0.092804,-0.323983,-0.269990,-2.689700,,-1.494322,0.065825,0.007404,-0.024278,0.062988,0.210575,-0.451395,0.146221,-0.064988,-0.134596,-0.009034,-0.023007,-3.529268,-2.533883,-2.517214,0.298149,0.068998,-0.257955,-0.560260,0.221463,0.780647,-0.839480,-0.351718,-0.692841,4.972376,0.195013,-0.253306,0.000000,0.359301,0.000000,0.073245,0.019751,-0.785845,-0.953166,-0.706691,-1.105290,0.355429,-1.452384,-0.771631,-0.053658,0.040480,0.414549
05/20/2020,0.256500,0.000000,0.263487,0.896505,1.792736,1.740365,0.398659,-0.919053,0.066419,0.857066,-0.202250,0.225843,0.474752,-0.332552,,0.299760,0.024678,0.007490,0.729798,0.135265,0.105450,6.509511,0.500903,0.000000,0.236425,0.000000,0.000000,1.327499,3.623326,3.684537,0.320229,0.019789,-0.128812,-0.495700,0.167945,0.712552,-0.813802,0.352960,1.010886,3.682488,0.555284,1.623646,0.000000,0.200175,-0.016134,0.110209,1.437842,2.893324,1.594626,2.771470,1.188143,1.306228,1.773244,3.445804,0.340991,-0.295977,0.369867
05/19/2020,0.111198,0.000000,0.126217,0.299283,0.400150,-0.260375,0.266455,-0.070646,0.032810,0.291825,0.423021,0.198135,0.058127,4.745466,,0.785498,0.280439,0.135180,-0.460111,-0.009010,0.334888,-5.098319,0.059236,-0.644244,0.050781,0.000000,0.057686,2.584970,-0.372812,-0.326697,0.278235,0.049372,-0.511872,-0.981668,0.354936,1.193419,-1.011626,0.100947,0.155763,0.534759,0.261962,-0.168059,0.199144,0.391456,0.016137,-0.036649,0.825563,-2.848709,-0.958657,-0.019088,-1.835161,-0.358780,0.645009,-2.965636,-0.695063,0.649966,0.295620
05/18/2020,-0.145273,0.000000,-0.183226,0.846027,6.837725,2.857729,-2.921943,-2.007615,0.066485,1.669910,0.664315,1.015024,0.939388,0.043591,,-0.719856,-0.614978,-0.247074,-0.709203,-0.135071,-0.026470,12.575363,1.435262,1.107639,-0.118349,0.000000,-0.080775,2.303007,4.306493,4.593974,-2.075454,0.177880,2.224799,4.487141,-1.370834,-6.530317,6.418748,0.865479,1.985703,8.575257,0.317704,0.696644,-0.340109,-2.055420,-0.064316,-0.073465,0.811902,2.912215,4.560709,2.107173,1.585535,3.784230,6.381313,10.429670,-0.195660,0.176343,-3.078617
05/15/2020,0.059872,-0.021847,0.057274,-0.361273,1.738950,0.991730,-0.258002,-0.207254,-0.033232,-0.758979,-0.886319,-0.426903,0.156879,5.952840,,0.603500,-0.065480,-0.007481,0.507592,0.045008,0.282761,0.297230,-0.327906,0.130740,0.151961,0.009035,0.057806,7.029875,-2.279101,-2.067209,-0.292599,0.088956,0.196892,0.515502,-0.260466,-0.898197,0.843579,-0.101718,0.238854,4.382284,0.252504,0.289460,-0.028320,-0.323541,0.000000,-0.036609,0.081227,3.581555,0.872119,1.384857,0.879004,1.165101,2.987946,0.650839,0.124666,-0.108401,-0.207434
05/14/2020,0.308747,0.010795,0.275616,0.362583,-0.361420,1.742844,1.355068,0.242382,0.033243,0.201785,0.050710,0.428733,-0.137068,2.507115,,1.036585,0.155879,0.059886,0.375869,0.108135,0.212599,1.549439,-0.297288,-0.260068,0.135646,0.009035,-0.023144,2.113028,2.802443,2.675029,0.928205,0.000000,-0.974123,-1.896832,0.565506,3.135403,-3.039688,-0.050833,-0.158983,4.126214,0.220124,1.571305,0.070851,0.930177,0.032263,0.036622,-0.020081,-0.919724,1.224571,1.079818,-0.245500,1.493749,1.656304,-0.708749,-0.531444,0.517570,1.525411
05/13/2020,0.163204,0.000000,0.114995,-0.241139,-2.120116,-0.998935,1.038936,0.662252,0.132325,-0.448019,-0.479156,-0.256670,-0.312247,0.047366,,0.737101,0.205632,0.067418,0.267495,-0.090031,0.079762,-8.539653,-1.319309,-0.388949,0.101402,0.000000,0.000000,0.719845,-1.774979,-1.928242,0.701163,-0.019722,-0.773125,-1.493787,0.400442,1.961698,-2.080489,-0.304070,-0.788644,-1.764425,0.253841,0.040602,0.127695,0.657148,0.015944,0.073519,0.101690,-1.988765,-2.102606,-1.709821,-0.903590,-1.721349,-3.516413,-6.655024,0.337718,-0.339351,1.314753
05/12/2020,0.258444,0.000000,0.323055,0.180844,-2.346264,-0.810685,1.252573,-0.760982,0.033298,-0.169700,-0.485140,-0.326746,0.303397,0.907327,,0.431832,0.330058,0.120170,0.353833,0.045145,0.186390,0.518069,-0.438120,-0.643833,0.084937,0.009036,0.023149,-0.991593,-2.750172,-2.653437,0.943533,-0.029638,-0.894038,-1.953747,0.637520,3.044681,-2.980771,0.254035,0.157978,-0.944733,0.476646,1.024494,0.142084,0.985701,0.032279,-0.036856,-0.766801,-2.156867,-1.528351,-1.946442,-0.844298,-2.188035,-4.526480,-1.983585,0.770195,-0.794506,0.995993
05/11/2020,-0.300543,0.011056,-0.310495,-0.120642,-0.685394,-1.334137,-1.118351,0.486618,0.066228,-0.613175,-0.540731,-0.649691,-0.195249,-2.808130,,-0.613121,-0.279774,-0.134987,-0.834938,-0.233856,0.017819,-1.905517,-0.029116,0.517440,-0.287520,-0.018069,-0.034645,-2.713188,0.051189,-0.095447,-0.766044,-0.019838,0.772129,1.612660,-0.639476,-2.482334,2.407870,-0.404811,-0.471698,-1.397299,-0.386536,-0.943755,-0.127713,-0.758652,-0.048205,-0.274235,-0.461926,4.770574,-1.524441,0.057782,-0.137713,-0.221745,-2.866033,-2.164513,-2.480349,1.712094,-1.003273
05/08/2020,-0.265536,0.000000,-0.286697,0.606870,2.170600,2.087831,-1.562469,-0.242718,0.000000,0.710135,0.426111,0.568178,0.068389,-0.714125,,-0.669915,-0.328055,-0.104746,-0.433668,-0.017969,-0.008961,8.763460,0.616889,0.717133,-0.101094,0.009035,-0.023136,0.211472,2.551685,2.951278,-1.219401,0.029640,1.304165,2.479710,-0.817930,-3.793010,3.737444,0.050627,0.712589,4.885198,-0.220391,-0.424476,-0.155850,-1.271092,-0.048182,0.054833,1.096335,1.457020,2.399778,1.826023,2.233939,1.947512,6.024050,5.804364,0.000000,0.786858,-2.099826
